|-------------------------Scoreboard-------------------------|

|     Instruction     |  Issue  |  Read  | Execute |  Write  |
|---------------------|---------|--------|---------|---------|
|fld  f1, 0(x9)       |  1      |  2     |  3      |  4      |
|---------------------|---------|--------|---------|---------|
|fmul f2, f3, f4      |  2      |  3     |  7      |  8      |
|---------------------|---------|--------|---------|---------|
|fld f1, 0(x10)       |  5      |  6     |  7      |  8      |
|---------------------|---------|--------|---------|---------|
|fdiv f3, f1, f4      |  6      |  9     |  25     |  26     |
|---------------------|---------|--------|---------|---------|
|fmul f4, f2, f4      |  7      |  9     |  13     |  14     |
|---------------------|---------|--------|---------|---------|
|fadd f2, f8, f3      |  9      |  27    |  29     |  30     |
|---------------------|---------|--------|---------|---------|
|fld f1, 0(x2)        |  10     |  11    |  12     |  13     |
|---------------------|---------|--------|---------|---------|
|fsd f3, 100(x11)     |  11     |  27    |  28     |  29     |
|---------------------|---------|--------|---------|---------|
|fsd f4, 200(x12)     |  14     |  15    |  16     |  17     |
|---------------------|---------|--------|---------|---------|
